Iter,Phi,Psi,Type
5,-62.71718,-23.677078,Acquired
5,-101.80924,175.63336,Acquired
5,-146.0364,151.8841,Acquired
5,-163.65544,176.41882,Acquired
5,-168.75354,165.06879,Acquired
5,-129.70488,11.911484,Acquired
5,64.650116,-15.315475,Acquired
5,-160.37784,164.49896,Acquired
5,-159.62871,-179.26979,Acquired
5,-54.26655,143.37189,Acquired
5,-169.32414,165.64236,Acquired
5,-158.36006,160.04657,Acquired
5,-177.20496,147.5299,Acquired
5,-159.03847,171.46924,Acquired
5,50.028336,35.905365,Acquired
5,-141.03879,5.822464,Acquired
5,-156.39474,160.45123,Acquired
5,-138.22278,177.50934,Acquired
5,-166.97704,163.24158,Acquired
5,-172.30205,159.95703,Acquired
5,-141.18234,34.348663,Acquired
5,-38.48703,139.63303,Acquired
5,-152.25873,173.3457,Acquired
5,-139.23877,27.314423,Acquired
5,-70.98361,92.61502,Acquired
5,-164.38962,177.55865,Acquired
5,66.19055,137.09216,Acquired
5,-123.27782,3.591095,Acquired
5,-159.72142,-85.92648,Acquired
5,178.80994,141.98837,Acquired
5,-143.36063,10.509949,Acquired
5,-43.045013,-33.39438,Acquired
5,-149.95108,-163.98009,Acquired
5,-149.49638,19.633133,Acquired
5,-48.207397,116.15436,Acquired
5,-174.34682,148.96808,Acquired
5,-139.33655,171.2125,Acquired
5,-128.6933,-12.170212,Acquired
5,52.68843,-39.765488,Acquired
5,-113.79771,39.307404,Acquired
5,-166.62128,177.34189,Acquired
5,-50.481583,175.5076,Acquired
5,44.445877,42.064835,Acquired
5,-153.23257,20.358154,Acquired
5,-142.69653,16.857285,Acquired
5,-165.41724,164.91467,Acquired
5,56.85161,31.336548,Acquired
5,-159.28442,177.28137,Acquired
5,-59.456024,-6.806961,Acquired
5,-159.35318,12.2669525,Acquired
5,51.53705,23.554321,Acquired
5,56.024567,16.85608,Acquired
5,-67.838264,159.33926,Acquired
5,-65.80431,-21.642853,Acquired
5,-73.66368,143.6229,Acquired
5,-76.92334,-21.804382,Acquired
5,56.936554,30.681534,Acquired
5,60.326477,23.477524,Acquired
5,51.66629,26.131165,Acquired
5,-142.1542,-159.3047,Acquired
5,58.703445,29.302551,Acquired
5,53.992645,39.375336,Acquired
5,56.367218,-17.418274,Acquired
5,-147.8339,164.83499,Acquired
5,60.070877,25.754791,Acquired
5,-72.709946,131.71606,Acquired
5,-81.73835,1.4472961,Acquired
5,-93.67754,-1.0706635,Acquired
5,68.811035,-167.98997,Acquired
5,53.982727,18.756744,Acquired
5,-77.55327,-13.2790985,Acquired
5,-81.850876,-13.351456,Acquired
5,-58.876236,-18.737549,Acquired
5,-64.56671,148.44318,Acquired
5,-57.815926,153.13263,Acquired
5,61.530426,29.177048,Acquired
5,66.889984,-59.228737,Acquired
5,73.27704,-176.34818,Acquired
5,54.92122,19.969177,Acquired
5,-140.49771,151.45209,Acquired
5,-73.4602,61.68451,Acquired
5,-93.33811,47.904266,Acquired
5,-70.60169,-30.169586,Acquired
5,63.94713,0.86769104,Acquired
5,56.443466,-13.899155,Acquired
5,-145.40573,140.43958,Acquired
5,-62.81994,-43.790558,Acquired
5,-72.137405,-49.84851,Acquired
5,-58.668404,144.11346,Acquired
5,69.76599,-166.18217,Acquired
5,58.943054,19.697754,Acquired
5,-73.82826,47.111298,Acquired
5,-79.87573,16.97142,Acquired
5,-75.73654,-6.3887634,Acquired
5,-71.286644,-16.453827,Acquired
5,-83.75494,29.53804,Acquired
5,58.934296,52.14624,Acquired
5,55.987137,-2.9315338,Acquired
5,-67.09031,155.86615,Acquired
5,-76.51249,-23.730133,Acquired
5,51.423553,2.3688354,Acquired
5,-73.53506,-4.5081177,Acquired
5,45.961517,31.798218,Acquired
5,-91.04611,-21.974228,Acquired
5,-73.075645,-4.3462524,Acquired
5,-66.915474,-25.189209,Acquired
5,-67.44049,151.11554,Acquired
5,-84.46373,14.444504,Acquired
5,-64.55308,-52.692596,Acquired
5,-73.80878,-2.4033966,Acquired
5,-75.817894,133.23666,Acquired
5,-81.86655,14.993271,Acquired
5,-66.628685,135.70264,Acquired
5,-64.00384,124.7041,Acquired
5,56.237762,32.93483,Acquired
5,-63.52765,132.26642,Acquired
5,-87.65485,-17.536804,Acquired
5,-75.014336,-20.697708,Acquired
5,-66.27665,-20.207672,Acquired
5,62.3869,8.405334,Acquired
5,-65.48967,-32.71234,Acquired
5,60.566895,37.38443,Acquired
5,-62.51407,-15.047394,Acquired
5,-64.06151,-11.784576,Acquired
5,-78.98113,128.07968,Acquired
5,55.73787,167.2952,Acquired
5,-60.2902,110.50281,Acquired
5,-57.94436,-56.338303,Acquired
5,59.242462,8.387985,Acquired
5,-68.47015,-46.18367,Acquired
5,46.37195,52.45105,Acquired
5,-60.81093,-27.011124,Acquired
5,60.084198,14.070862,Acquired
5,-87.06437,-1.7744141,Acquired
5,60.52301,42.586487,Acquired
5,-79.71726,-13.991135,Acquired
5,-55.73201,126.8992,Acquired
5,56.62564,28.841461,Acquired
5,52.078506,171.84302,Acquired
5,67.84064,-172.43976,Acquired
5,-89.82506,-3.9773712,Acquired
5,-54.020126,152.16687,Acquired
5,-61.266937,-34.002075,Acquired
5,69.43887,-36.56259,Acquired
5,-72.89714,7.594803,Acquired
5,-150.1201,-60.868156,Acquired
5,-67.46137,37.89868,Acquired
5,52.559174,36.59259,Acquired
5,-76.40259,63.1465,Acquired
5,-69.83671,138.84213,Acquired
5,50.259888,3.1049194,Acquired
5,-86.315125,164.33597,Acquired
5,-87.7562,175.08551,Acquired
5,-60.352783,-10.274918,Acquired
5,-65.22856,160.77936,Acquired
5,55.95996,32.968353,Acquired
5,44.91623,38.086365,Acquired
5,-56.73329,-14.760513,Acquired
5,-75.331505,148.3645,Acquired
5,-90.74956,84.01633,Acquired
5,-73.78002,70.76547,Acquired
5,-67.17016,-6.8638763,Acquired
5,-70.9669,114.4874,Acquired
5,66.29224,-70.28254,Acquired
5,68.280396,5.070343,Acquired
5,63.355682,-41.636932,Acquired
5,37.991486,52.86853,Acquired
5,59.618652,-153.04779,Acquired
5,-88.0767,27.653534,Acquired
5,-66.40158,147.6423,Acquired
5,-93.49647,-19.375565,Acquired
5,-78.77991,-178.14685,Acquired
5,61.69571,39.742752,Acquired
5,73.094604,-175.12709,Acquired
5,-57.534386,-19.311844,Acquired
5,-65.27926,170.6192,Acquired
